2025-03-12 14:34:32.387 INFO  (coreLoadExecutor-14-thread-1) [c: s: r: x:blacklight_marc t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/blacklight_marc/conf
2025-03-12 14:34:32.399 INFO  (coreLoadExecutor-14-thread-1) [c: s: r: x:blacklight_marc t:] o.a.s.s.DirectSolrSpellChecker init: {accuracy=0.5, maxQueryFrequency=0.01, name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4}
2025-03-12 14:34:32.407 INFO  (coreLoadExecutor-14-thread-1) [c: s: r: x:blacklight_marc t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-03-12 14:34:32.409 INFO  (searcherExecutor-16-thread-1-processing-blacklight_marc) [c: s: r: x:blacklight_marc t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2025-03-12 14:34:32.410 INFO  (searcherExecutor-16-thread-1-processing-blacklight_marc) [c: s: r: x:blacklight_marc t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2025-03-12 14:34:32.414 INFO  (searcherExecutor-16-thread-1-processing-blacklight_marc) [c: s: r: x:blacklight_marc t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2025-03-12 14:35:05.566 INFO  (qtp2067925017-57-null-1) [c: s: r: x:blacklight_marc t:null-1] o.a.s.c.S.Request webapp=/solr path=/select params={f.language_ssim_str.facet.limit=9&f.subject_ssim_str.facet.limit=9&f.subject_ssim_str.facet.sort=count&facet.field=pub_date_si&facet.field=language_ssim_str&facet.field=collection_tsim_str&facet.field=subject_ssim_str&facet.field=author_ssm_str&facet.field=format_str&facet.field=is_issue_str&facet.field=is_serial_str&f.collection_tsim_str.facet.limit=9&f.is_issue_str.facet.sort=count&fq={!term+f%3Dsubject_ssim_str}Projets+de+loi+Canada&sort=score+desc,+pub_date_si+desc&f.format_str.facet.limit=9&rows=10&facet.query=pub_date_si:[1300+TO+1349]&facet.query=pub_date_si:[1350+TO+1399]&facet.query=pub_date_si:[1400+TO+1449]&facet.query=pub_date_si:[1450+TO+1499]&facet.query=pub_date_si:[1500+TO+1549]&facet.query=pub_date_si:[1550+TO+1599]&facet.query=pub_date_si:[1600+TO+1649]&facet.query=pub_date_si:[1650+TO+1699]&facet.query=pub_date_si:[1700+TO+1749]&facet.query=pub_date_si:[1750+TO+1799]&facet.query=pub_date_si:[1800+TO+1849]&facet.query=pub_date_si:[1850+TO+1899]&facet.query=pub_date_si:[1900+TO+1949]&facet.query=pub_date_si:[1950+TO+1999]&facet.query=pub_date_si:[2000+TO+2027]&f.author_ssm_str.facet.limit=9&f.collection_tsim_str.facet.sort=count&f.is_issue_str.facet.limit=9&f.format_str.facet.sort=count&f.language_ssim_str.facet.sort=index&stats=true&f.is_serial_str.facet.limit=9&f.author_ssm_str.facet.sort=count&f.is_serial_str.facet.sort=count&facet=true&wt=json&stats.field=pub_date_si} hits=5585 status=0 QTime=600
2025-03-12 14:35:33.920 INFO  (qtp2067925017-28-null-2) [c: s: r: x:blacklight_marc t:null-2] o.a.s.c.S.Request webapp=/solr path=/select params={f.language_ssim_str.facet.limit=9&f.subject_ssim_str.facet.limit=9&f.subject_ssim_str.facet.sort=count&facet.field=pub_date_si&facet.field=language_ssim_str&facet.field=collection_tsim_str&facet.field=subject_ssim_str&facet.field=author_ssm_str&facet.field=format_str&facet.field=is_issue_str&facet.field=is_serial_str&f.collection_tsim_str.facet.limit=9&f.is_issue_str.facet.sort=count&fq={!term+f%3Dsubject_ssim_str}Projets+de+loi+Canada&sort=score+desc,+pub_date_si+desc&f.format_str.facet.limit=9&rows=10&facet.query=pub_date_si:[1300+TO+1349]&facet.query=pub_date_si:[1350+TO+1399]&facet.query=pub_date_si:[1400+TO+1449]&facet.query=pub_date_si:[1450+TO+1499]&facet.query=pub_date_si:[1500+TO+1549]&facet.query=pub_date_si:[1550+TO+1599]&facet.query=pub_date_si:[1600+TO+1649]&facet.query=pub_date_si:[1650+TO+1699]&facet.query=pub_date_si:[1700+TO+1749]&facet.query=pub_date_si:[1750+TO+1799]&facet.query=pub_date_si:[1800+TO+1849]&facet.query=pub_date_si:[1850+TO+1899]&facet.query=pub_date_si:[1900+TO+1949]&facet.query=pub_date_si:[1950+TO+1999]&facet.query=pub_date_si:[2000+TO+2027]&f.author_ssm_str.facet.limit=9&f.collection_tsim_str.facet.sort=count&f.is_issue_str.facet.limit=9&f.format_str.facet.sort=count&f.language_ssim_str.facet.sort=index&stats=true&f.is_serial_str.facet.limit=9&f.author_ssm_str.facet.sort=count&f.is_serial_str.facet.sort=count&facet=true&wt=json&stats.field=pub_date_si} hits=5585 status=0 QTime=41
2025-03-12 14:37:58.982 INFO  (qtp2067925017-58-null-3) [c: s: r: x:blacklight_marc t:null-3] o.a.s.c.S.Request webapp=/solr path=/select params={f.language_ssim_str.facet.limit=9&f.subject_ssim_str.facet.limit=9&f.subject_ssim_str.facet.sort=count&facet.field=pub_date_si&facet.field=language_ssim_str&facet.field=collection_tsim_str&facet.field=subject_ssim_str&facet.field=author_ssm_str&facet.field=format_str&facet.field=is_issue_str&facet.field=is_serial_str&f.collection_tsim_str.facet.limit=9&f.is_issue_str.facet.sort=count&fq={!term+f%3Dsubject_ssim_str}Projets+de+loi+Canada&sort=score+desc,+pub_date_si+desc&f.format_str.facet.limit=9&rows=10&facet.query=pub_date_si:[1300+TO+1349]&facet.query=pub_date_si:[1350+TO+1399]&facet.query=pub_date_si:[1400+TO+1449]&facet.query=pub_date_si:[1450+TO+1499]&facet.query=pub_date_si:[1500+TO+1549]&facet.query=pub_date_si:[1550+TO+1599]&facet.query=pub_date_si:[1600+TO+1649]&facet.query=pub_date_si:[1650+TO+1699]&facet.query=pub_date_si:[1700+TO+1749]&facet.query=pub_date_si:[1750+TO+1799]&facet.query=pub_date_si:[1800+TO+1849]&facet.query=pub_date_si:[1850+TO+1899]&facet.query=pub_date_si:[1900+TO+1949]&facet.query=pub_date_si:[1950+TO+1999]&facet.query=pub_date_si:[2000+TO+2027]&f.author_ssm_str.facet.limit=9&f.collection_tsim_str.facet.sort=count&f.is_issue_str.facet.limit=9&f.format_str.facet.sort=count&f.language_ssim_str.facet.sort=index&stats=true&f.is_serial_str.facet.limit=9&f.author_ssm_str.facet.sort=count&f.is_serial_str.facet.sort=count&facet=true&wt=json&stats.field=pub_date_si} hits=5585 status=0 QTime=14
2025-03-12 14:40:03.444 INFO  (qtp2067925017-29-null-4) [c: s: r: x:blacklight_marc t:null-4] o.a.s.c.S.Request webapp=/solr path=/select params={f.language_ssim_str.facet.limit=9&f.subject_ssim_str.facet.limit=9&f.subject_ssim_str.facet.sort=count&facet.field=pub_date_si&facet.field=language_ssim_str&facet.field=collection_tsim_str&facet.field=subject_ssim_str&facet.field=author_ssm_str&facet.field=format_str&facet.field=is_issue_str&facet.field=is_serial_str&f.collection_tsim_str.facet.limit=9&f.is_issue_str.facet.sort=count&fq={!term+f%3Dsubject_ssim_str}Projets+de+loi+Canada&sort=score+desc,+pub_date_si+desc&f.format_str.facet.limit=9&rows=10&facet.query=pub_date_si:[1300+TO+1349]&facet.query=pub_date_si:[1350+TO+1399]&facet.query=pub_date_si:[1400+TO+1449]&facet.query=pub_date_si:[1450+TO+1499]&facet.query=pub_date_si:[1500+TO+1549]&facet.query=pub_date_si:[1550+TO+1599]&facet.query=pub_date_si:[1600+TO+1649]&facet.query=pub_date_si:[1650+TO+1699]&facet.query=pub_date_si:[1700+TO+1749]&facet.query=pub_date_si:[1750+TO+1799]&facet.query=pub_date_si:[1800+TO+1849]&facet.query=pub_date_si:[1850+TO+1899]&facet.query=pub_date_si:[1900+TO+1949]&facet.query=pub_date_si:[1950+TO+1999]&facet.query=pub_date_si:[2000+TO+2027]&f.author_ssm_str.facet.limit=9&f.collection_tsim_str.facet.sort=count&f.is_issue_str.facet.limit=9&f.format_str.facet.sort=count&f.language_ssim_str.facet.sort=index&stats=true&f.is_serial_str.facet.limit=9&f.author_ssm_str.facet.sort=count&f.is_serial_str.facet.sort=count&facet=true&wt=json&stats.field=pub_date_si} hits=5585 status=0 QTime=15
